drug,usual_mg,toxic_mg,notes
dolo 650,650,4000,Acetaminophen adult max ~4000 mg/day
paracetamol,500,4000,Common analgesic; hepatotoxic in overdose
ibuprofen,400,2400,Typical single dose 200-400 mg; GI/renal risk at high doses
warfarin,5,20,Requires INR monitoring; bleeding risk
aspirin,325,1500,High doses cause bleeding risk; interacts with anticoagulants
combiflam,325,5000,Paracetamol + ibuprofen combination
ketorolac,10,40,Strong NSAID; avoid >5 days
naproxen,250,1500,NSAID; long half-life; watch renal function
diclofenac,50,300,Hepatotoxicity risk at high doses
aceclofenac,100,400,NSAID similar to diclofenac
celecoxib,100,400,COX-2 inhibitor; lower GI risk
etoricoxib,60,120,COX-2 NSAID; avoid in cardiac risk
tramadol,50,400,Opioid analgesic; seizure risk at high doses
morphine,10,200,Strong opioid; respiratory depression risk
codeine,30,240,Opioid; constipation & sedation
oxycodone,5,80,Opioid; high dependence risk
hydrocodone,10,60,Opioid; avoid with alcohol/CNS depressants
gabapentin,300,3600,Neuropathic pain; dizziness/sedation
pregabalin,75,600,Neuropathic pain; dizziness/sedation
amitriptyline,10,150,TCA; anticholinergic side effects
nortriptyline,25,150,TCA; fewer anticholinergic effects
sertraline,50,200,SSRI; serotonin syndrome w/ other serotonergics
fluoxetine,20,80,SSRI; very long half-life
escitalopram,10,20,SSRI; QT prolongation at high doses
citalopram,20,40,QT prolongation >40 mg
venlafaxine,75,300,SNRI; hypertension risk
duloxetine,30,120,SNRI; hepatotoxicity rare
bupropion,150,450,Seizure risk at high doses
mirtazapine,15,45,Sedative antidepressant
clonazepam,0.5,4,Benzodiazepine; dependence risk
alprazolam,0.25,4,Short-acting benzo; withdrawal risk
diazepam,5,40,Long-acting benzo
lorazepam,1,10,Benzodiazepine; avoid alcohol
zolpidem,5,20,Sleep aid; dependence risk
metformin,500,2550,First-line diabetes; GI upset
glimepiride,1,8,Sulfonylurea; hypoglycemia risk
gliclazide,40,240,Hypoglycemia risk
insulin regular,5,100,Units vary; hypoglycemia risk
insulin glargine,10,100,Long acting insulin
